index,row,propertyTableColumn,DatabaseTableName,lookupCode,formatHashColumn
343,Miscellaneous - Environmental Study,ExteriorFeature,exterior_feature,exteriorfeature342,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Environmental Study'}"
344,Miscellaneous - Highway Frontage,ExteriorFeature,exterior_feature,exteriorfeature343,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Highway Frontage'}"
345,Miscellaneous - Main Street Frontage,ExteriorFeature,exterior_feature,exteriorfeature344,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Main Street Frontage'}"
346,Miscellaneous - Soil Test,ExteriorFeature,exterior_feature,exteriorfeature345,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Soil Test'}"
347,Miscellaneous - Seller to Sign Non-Compete,ExteriorFeature,exterior_feature,exteriorfeature346,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Seller to Sign Non-Compete'}"
348,Miscellaneous - Other Structures,ExteriorFeature,exterior_feature,exteriorfeature347,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Other Structures'}"
349,Miscellaneous - Special Assessments,ExteriorFeature,exterior_feature,exteriorfeature348,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Special Assessments'}"
350,Miscellaneous - None,ExteriorFeature,exterior_feature,exteriorfeature349,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'None'}"
351,Miscellaneous - Leased Equipment,InteriorFeature,interior_feature,interiorfeature350,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Leased Equipment'}"
352,Miscellaneous - Fire Sprinkler System,InteriorFeature,interior_feature,interiorfeature351,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Fire Sprinkler System'}"
353,Miscellaneous - Inventory Included,InteriorFeature,interior_feature,interiorfeature352,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Inventory Included'}"
354,Miscellaneous - Irrigation,IrrigationType,irrigation_type,irrigationtype353,"{table: :Irrigation_Type, code: 'irrigationtype', label: 'Irrigation'}"
356,Type Leased Land - BLM,LandType,land_type,landtype355,"{table: :Land_Type, code: 'landtype', label: 'BLM'}"
357,Type Leased Land - Bureau of Reclamation,LandType,land_type,landtype356,"{table: :Land_Type, code: 'landtype', label: 'Bureau of Reclamation'}"
358,Type Leased Land - Forest Service,LandType,land_type,landtype357,"{table: :Land_Type, code: 'landtype', label: 'Forest Service'}"
359,Type Leased Land - Private,LandType,land_type,landtype358,"{table: :Land_Type, code: 'landtype', label: 'Private'}"
360,Type Leased Land - State,LandType,land_type,landtype359,"{table: :Land_Type, code: 'landtype', label: 'State'}"
361,Type Leased Land - None,LandType,land_type,landtype360,"{table: :Land_Type, code: 'landtype', label: 'None'}"
363,Potential Uses - Residential,Style,style,style362,"{table: :Style, code: 'style', label: 'Residential'}"
364,Potential Uses - Multi-Family,Style,style,style363,"{table: :Style, code: 'style', label: 'Multi-Family'}"
365,Potential Uses - Commercial,Style,style,style364,"{table: :Style, code: 'style', label: 'Commercial'}"
366,Potential Uses - Industrial,Style,style,style365,"{table: :Style, code: 'style', label: 'Industrial'}"
367,Potential Uses - Agricultural,Style,style,style366,"{table: :Style, code: 'style', label: 'Agricultural'}"
368,Potential Uses - Recreational,Style,style,style367,"{table: :Style, code: 'style', label: 'Recreational'}"
369,Potential Uses - Other,Style,style,style368,"{table: :Style, code: 'style', label: 'Other'}"
